ECO,Draw,Loss,Win,Total,Win Rate
A00,1,2,1,4,25.0
A06,0,0,1,1,100.0
A07,1,0,0,1,0.0
A20,0,0,1,1,100.0
A22,0,0,1,1,100.0
A25,0,1,1,2,50.0
A29,0,0,1,1,100.0
A40,0,2,0,2,0.0
B00,0,2,4,6,66.66666666666666
B01,0,11,26,37,70.27027027027027
B02,0,0,1,1,100.0
B03,0,0,1,1,100.0
B04,0,1,0,1,0.0
B07,0,0,1,1,100.0
B11,0,0,1,1,100.0
B12,0,4,2,6,33.33333333333333
B13,0,2,4,6,66.66666666666666
B27,0,2,1,3,33.33333333333333
B28,0,0,1,1,100.0
B30,1,1,5,7,71.42857142857143
B50,0,0,2,2,100.0
C00,0,2,2,4,50.0
C01,0,0,1,1,100.0
C02,0,2,4,6,66.66666666666666
C11,0,0,2,2,100.0
C20,0,1,5,6,83.33333333333334
C21,0,1,0,1,0.0
C22,0,0,1,1,100.0
C23,0,1,0,1,0.0
C24,0,0,1,1,100.0
C26,0,1,1,2,50.0
C34,0,1,0,1,0.0
C40,0,2,5,7,71.42857142857143
C41,0,1,7,8,87.5
C42,0,1,3,4,75.0
C44,0,6,6,12,50.0
C45,0,4,2,6,33.33333333333333
C46,0,4,3,7,42.857142857142854
C47,0,2,1,3,33.33333333333333
C48,0,1,0,1,0.0
C50,3,24,19,46,41.30434782608695
C53,0,2,1,3,33.33333333333333
C54,2,8,8,18,44.44444444444444
C55,0,2,4,6,66.66666666666666
C57,1,12,1,14,7.142857142857142
C58,0,1,3,4,75.0
C65,0,1,0,1,0.0
C67,0,1,0,1,0.0
C68,0,1,1,2,50.0
C70,0,0,1,1,100.0
C78,0,0,1,1,100.0
D00,0,5,11,16,68.75
D01,0,0,3,3,100.0
D02,0,5,2,7,28.57142857142857
D04,0,1,0,1,0.0
D05,0,1,1,2,50.0
D06,0,1,0,1,0.0
D10,0,0,4,4,100.0
D11,0,2,0,2,0.0
D12,0,0,1,1,100.0
D15,0,0,1,1,100.0
D21,0,1,2,3,66.66666666666666
D22,0,0,1,1,100.0
D26,0,0,1,1,100.0
